Designator,Mid X,Mid Y,Rotation,Layer
BT1,195.9,-108.72,0.0,top
C1,222.725,-101.7,180.0,top
C10,204.55,-83.058334,180.0,top
C11,204.55,-89.691666,180.0,top
C2,206.4495,-111.6,270.0,top
C3,204.55,-88.033333,0.0,top
C4,217.825,-98.95,90.0,top
C5,200.7495,-111.6,90.0,top
C6,219.425,-98.95,90.0,top
C7,225.7525,-83.0795,0.0,top
C8,228.1525,-85.73,90.0,top
C9,204.55,-81.458,180.0,top
D1,212.862507,-99.450089,0.0,top
D2,206.112,-104.4875,270.0,top
D3,225.6,-106.8,0.0,top
J2,213.0125,-112.525,0.0,top
L1,218.4,-101.6,180.0,top
Q1,203.3375,-103.6,0.0,top
R1,198.175,-92.5,0.0,top
R10,215.55,-106.04,90.0,top
R11,203.6,-109.05,180.0,top
R12,200.638,-103.35,90.0,top
R13,204.55,-86.375,180.0,top
R14,222.725,-96.65,0.0,top
R15,225.025,-98.95,270.0,top
R16,215.65,-93.05,180.0,top
R17,204.55,-84.716667,180.0,top
R18,209.85,-93.05,180.0,top
R19,212.75,-93.05,0.0,top
R2,198.175,-95.0,0.0,top
R20,204.55,-91.349999,0.0,top
R3,198.175,-97.5,0.0,top
R4,203.737,-106.15,180.0,top
R5,218.55,-93.05,0.0,top
R6,223.099886,-106.775089,90.0,top
R7,225.599886,-109.299911,180.0,top
R8,228.199886,-106.775089,90.0,top
R9,210.45,-106.04,270.0,top
SW1,232.8,-95.0,90.0,top
SW2,222.75,-91.9,0.0,top
U1,222.2,-99.2,180.0,top
U2,203.6,-111.6,180.0,top
U3,213.0,-106.04,90.0,top
U4,213.0,-83.5,0.0,top
U5,225.7525,-85.73,180.0,top
